software_name,username,location,country
UCLOrengoGroup_cath-tools,tonyelewis,"London, UK",United Kingdom
UCLOrengoGroup_cath-tools,sillitoe,"London, UK",United Kingdom
UCLOrengoGroup_cath-tools,anadon,The Internet,None
mcveanlab_mccortex,noporpoise,Los Angeles,United States
mcveanlab_mccortex,rec3141,,None
mcveanlab_mccortex,fbergroth,,None
mcveanlab_mccortex,gitter-badger,Safe in the Gitter den,Cape Verde
ncbi_ncbi-vdb,klymenko,,None
ncbi_ncbi-vdb,aboshkin,,None
ncbi_ncbi-vdb,kwrodarmer,,None
ncbi_ncbi-vdb,wraetz,,None
ncbi_ncbi-vdb,kdurbrow,,None
ncbi_ncbi-vdb,durbrow,,None
ncbi_ncbi-vdb,alexukr,,None
ncbi_ncbi-vdb,a-nikitiuk,,None
ncbi_ncbi-vdb,aiskhakov,North Pole,North Korea
ncbi_ncbi-vdb,vartanianmh,,None
ncbi_ncbi-vdb,ksrodarmer,,None
ncbi_ncbi-vdb,boshkins,"Herndon, VA",United States
ncbi_ncbi-vdb,yaschenk,,None
ncbi_ncbi-vdb,pwl,Kraków,Iran
ncbi_ncbi-vdb,jrandall,"Cambridge, UK",United Kingdom
ncbi_ncbi-vdb,sandrobe-nih,,None
ncbi_ncbi-vdb,mdshw5,"Boston, MA",United States
mozack_abra2,mozack,"Chapel Hill, NC",United States
mozack_abra2,lmose,,None
mozack_abra2,alanhoyle,"Chapel Hill, NC, USA",United States
mozack_abra2,dmcmanam,"New York, NY",United States
fstrozzi_Fastool,fstrozzi,"Paris, France",France
ewels_MultiQC,ewels,"Stockholm, Sweden",Sweden
ewels_MultiQC,apeltzer,"Biberach an der Riss, Germany",Germany
ewels_MultiQC,vladsaveliev,Melbourne,Australia
ewels_MultiQC,ErikDanielsson,Lund/Stockholm,Sweden
ewels_MultiQC,Redmar-van-den-Berg,,None
ewels_MultiQC,chuan-wang,Stockholm,Sweden
ewels_MultiQC,iimog,Würzburg,Peru
ewels_MultiQC,cpavanrun,Utrecht,Netherlands
ewels_MultiQC,Hammarn,Uppsala,Sweden
ewels_MultiQC,tbooth,"Edinburgh, UK",United Kingdom
ewels_MultiQC,jfy133,"Leipzig, Germany",Germany
ewels_MultiQC,chrispyatt,,None
ewels_MultiQC,erinyoung,"Salt Lake City, UT",United States
ewels_MultiQC,remiolsen,"Stockholm, Sweden",Sweden
ewels_MultiQC,jchorl,,None
ewels_MultiQC,aledj2,London,United Kingdom
ewels_MultiQC,ddesvillechabrol,"Paris, France",France
ewels_MultiQC,zwdzwd,Philadelphia,United States
ewels_MultiQC,t-neumann,Vienna,Austria
ewels_MultiQC,sstadick,Boulder Colorado,United States
ewels_MultiQC,sachalau,,None
ewels_MultiQC,matthdsm,"Ghent, Belgium",Belgium
ewels_MultiQC,moonso,Stockholm,Sweden
ewels_MultiQC,subwaystation,"Tübingen, Germany",Germany
ewels_MultiQC,joachimwolff,"Freiburg, Germany",Germany
ewels_MultiQC,boulund,"Stockholm, Sweden",Sweden
ewels_MultiQC,alexanderscholz,,None
ewels_MultiQC,nh13,,None
ewels_MultiQC,TCLamnidis,"Leipzig, Germany",Germany
ewels_MultiQC,robinandeer,Stockholm,Sweden
ewels_MultiQC,Maarten-vd-Sande,"Nijmegen, the Netherlands",Netherlands
ewels_MultiQC,ssjunnebo,,None
ewels_MultiQC,noirot,Toulouse,France
ewels_MultiQC,guillermo-carrasco,Stockholm,Sweden
ewels_MultiQC,cerebis,Sydney Australia,Australia
ewels_MultiQC,vezzi,Stockholm (Sweden),Sweden
ewels_MultiQC,winni2k,"Stockholm, Sweden",Sweden
ewels_MultiQC,maxibor,"Jena, Germany",Germany
ewels_MultiQC,dakl,Stockholm,Sweden
ewels_MultiQC,lpantano,Boston,United States
ewels_MultiQC,hxin,,None
ewels_MultiQC,lukaw3d,Slovenia,Slovenia
ewels_MultiQC,nservant,"Paris, France",France
ewels_MultiQC,dpryan79,"Basel, Switzerland / Freiburg, Germany",Germany
ewels_MultiQC,chapmanb,"Boston, MA",United States
ewels_MultiQC,caspargross,Tübingen,Guinea
ewels_MultiQC,Imipenem,,None
ewels_MultiQC,jamorrison,"Grand Rapids, MI",United States
