software_name,username,location,country
lingluodlut_Att-ChemdNER,lingluodlut,Bethesda ,United States
ncbi-nlp_BioC-JSON,don-comeau-NCBI,,None
ksahlin_BESST,ksahlin,,None
ksahlin_BESST,jvhaarst,"Wageningen, Netherlands",Netherlands
ksahlin_BESST,mfranberg,Sweden,Sweden
ksahlin_BESST,rchikhi,France,France
ksahlin_BESST,olest,"Cambridge, UK",United Kingdom
ksahlin_BESST,AskPascal,Uppsala,Sweden
ksahlin_BESST,ralic,Taiwan,Taiwan
ksahlin_BESST,sidorov-si,Russian Federation,Russia
ksahlin_BESST,yuragal,,None
loopasam_Brain,loopasam,Basel CH,Switzerland
voracva1_CoLiDe,voracva1,,None
dpryan79_SE-MEI,dpryan79,"Basel, Switzerland / Freiburg, Germany",Germany
NetLand-NTU_HopLand,NetLand-NTU,Singapore,Singapore
BioimageInformaticsTampere_RegBenchmark,kimmokartasalo,,None
SpatialTranscriptomicsResearch_st_pipeline,jfnavarro,Barcelona,Spain
SpatialTranscriptomicsResearch_st_pipeline,elhb,"Stockholm, Sweden",Sweden
SpatialTranscriptomicsResearch_st_pipeline,Alexander-Stuckey,,None
SpatialTranscriptomicsResearch_st_pipeline,maaskola,,None
SpatialTranscriptomicsResearch_st_pipeline,jsh58,,None
alastair-droop_fqtools,alastair-droop,"Cambridge, UK",United Kingdom
alastair-droop_fqtools,kloetzl,,None
sebastiandaberdaku_AntibodyInterfacePrediction,sebastiandaberdaku,,None
NGSeq_ViraPipe,aim11,FInland,Finland
SamStudio8_goldilocks,SamStudio8,"Birmingham, UK",United Kingdom
SamStudio8_goldilocks,ar0ch,,None
SamStudio8_goldilocks,gitter-badger,Safe in the Gitter den,Cape Verde
rwehrens_ptw,rwehrens,"Wageningen, Netherlands",Netherlands
rwehrens_ptw,zeehio,Hamburg area,Germany
sipss_AlpsNMR,zeehio,Hamburg area,Germany
sipss_AlpsNMR,Francisco-madrid-gambin,,None
sipss_AlpsNMR,Hgracia,,None
sipss_AlpsNMR,nturaga,,None
sipss_AlpsNMR,lshep,,None
uci-cbcl_D-GEX,yil8,"Irvine, CA",United States
saschajung_RefBool,saschajung,,None
saschajung_RefBool,AndrasHartmann,,None
kundajelab_gkmexplain,AvantiShri,,None
kundajelab_gkmexplain,evaprakash,,None
sequana_sequana,cokelaer,"Paris, France",France
sequana_sequana,ddesvillechabrol,"Paris, France",France
sequana_sequana,rlegendre,"Paris, France",France
sequana_sequana,khourhin,,None
sequana_sequana,maelledaunesse,,None
sequana_sequana,arfon,Edinburgh,United Kingdom
nyiuab_BhGLM,nyiuab,,None
nyiuab_BhGLM,boyiguo1,"Birmingham, AL, USA",United States
mcveanlab_mccortex,noporpoise,Los Angeles,United States
mcveanlab_mccortex,rec3141,,None
mcveanlab_mccortex,fbergroth,,None
mcveanlab_mccortex,gitter-badger,Safe in the Gitter den,Cape Verde
yoheirosen_vg,ekg,"Napoli, IT / Memphis, TN",United States
yoheirosen_vg,adamnovak,,None
yoheirosen_vg,edawson,Working From Home,Burkina Faso
yoheirosen_vg,glennhickey,Canada,Canada
yoheirosen_vg,jeizenga,"Santa Cruz, CA",United States
yoheirosen_vg,JervenBolleman,,None
yoheirosen_vg,jltsiren,"Santa Cruz, California, USA",United States
yoheirosen_vg,mlin,"Honolulu, HI, USA",United States
yoheirosen_vg,buske,"Toronto, ON",Canada
yoheirosen_vg,yoheirosen,,None
yoheirosen_vg,AlexanderSavelyev,,None
yoheirosen_vg,yhoogstrate,The Netherlands,Netherlands
yoheirosen_vg,mzueva,"Russia, Saint-Petersburg",Russia
yoheirosen_vg,richarddurbin,Cambridge,United States
yoheirosen_vg,ktym,Japan,Japan
yoheirosen_vg,6br,,None
yoheirosen_vg,abeconnelly,,None
yoheirosen_vg,alexjironkin,"London, UK",United Kingdom
yoheirosen_vg,spiral-genetics,"Seattle, WA",United States
yoheirosen_vg,colindaven,"Hannover Medical School, Germany",Germany
yoheirosen_vg,konradjk,,None
yoheirosen_vg,lexnederbragt,Norway,Norway
yoheirosen_vg,waffle-iron,"Boulder, CO",United States
yoheirosen_vg,ryan-williams,New York,United States
yoheirosen_vg,gitter-badger,Safe in the Gitter den,Cape Verde
yoheirosen_vg,benedictpaten,UCSC,United States
yoheirosen_vg,byoo,,None
yoheirosen_vg,ivargr,,None
yoheirosen_vg,NickSto,"Washington, DC",United States
yoheirosen_vg,tanessav,,None
MichaelPHStumpf_Peitho,jonasmac16,,None
MichaelPHStumpf_Peitho,MichaelPHStumpf,,None
mkanai_grimon,mkanai,"Boston, MA",United States
intermine_interMineR,kostaskyritsis,"Thessaloniki, Greece",Greece
intermine_interMineR,rachellyne,,None
intermine_interMineR,nturaga,,None
intermine_interMineR,yochannah,Cambridge,United States
intermine_interMineR,ashishpriyadarshiCIC,"New Delhi, India",India
intermine_interMineR,danielabutano,Cambridge,United States
intermine_interMineR,hpages,,None
intermine_interMineR,vobencha,San Francisco,United States
intermine_interMineR,LiNk-NY,"New York City, NY",United States
intermine_interMineR,sowla,,None
intermine_interMineR,celions,,None
yu-lab-vt_SynQuant,yu-lab-vt,"Arlington, VA",United States
yu-lab-vt_SynQuant,ccwang92,"Arlington, VA",United States
yu-lab-vt_SynQuant,freemanwyz,"Arlington, VA",United States
yu-lab-vt_SynQuant,mengfanwang,,None
yu-lab-vt_SynQuant,Weizheng96,,None
spatkar94_NetworkAnnotation,spatkar94,,None
yannrivault_queryMed,yannrivault,,None
yannrivault_queryMed,nolwenn,,None
gurinovich_PopCluster,gurinovich,Boston,United States
yaarasegre_EPIQ,yaarasegre,,None
ratschlab_ribodiff,yizhong,"Shanghai, China",China
ratschlab_ribodiff,vipints,New York City,United States
ratschlab_ribodiff,ratsch,Zurich,Switzerland
ddarriba_pll-modules,amkozlov,,None
ddarriba_pll-modules,BenoitMorel,,None
ddarriba_pll-modules,Pbdas,,None
ddarriba_pll-modules,ddarriba,"A Coruña, Spain",Spain
ddarriba_pll-modules,lukashuebner,,None
ddarriba_pll-modules,lutteropp,"Munich, Germany",Germany
joewandy_peak-grouping-alignment,joewandy,"Glasgow, United Kingdom",United Kingdom
lmdu_krait,lmdu,"Chengdu, China",China
nh13_dwgsim,nh13,,None
nh13_dwgsim,iontorrent-dev,,None
nh13_dwgsim,cielavenir,Inside the Yamanote-line,Sint Maarten
nh13_dwgsim,EdwardBetts,"Cambridge, UK",United Kingdom
nh13_dwgsim,jerowe,"Merrimack, NH, USA",United States
nh13_dwgsim,karel-brinda,"Boston, MA",United States
nh13_dwgsim,sjackman,"Vancouver, Canada",Canada
nh13_dwgsim,joachimjacob,,None
nh13_dwgsim,jts,"Toronto, Canada",Canada
mschubert_clustermq,mschubert,"Amsterdam, NL",Netherlands
mschubert_clustermq,klmr,"London, UK",United Kingdom
mschubert_clustermq,barzine,Paris,France
mschubert_clustermq,matthewstrasiotto,Eora/Sydney,Canada
mschubert_clustermq,jeroen,Netherlands / California,United States
mschubert_clustermq,wlandau,"Indianapolis, IN",United States
mschubert_clustermq,brendanf,"Uppsala, Sweden",Sweden
mschubert_clustermq,ashiklom,,None
mschubert_clustermq,gabora,"Heidelberg, Germany",Germany
mschubert_clustermq,mattwarkentin,"Toronto, Ontario, Canada",Canada
mschubert_clustermq,kaneplusplus,,None
mschubert_clustermq,PhDyellow,,None
mschubert_clustermq,marcosci,Göttingen,Guinea
wangzengmiao_VCNet,wangzengmiao,,None
xypan1232_DislncRF,xypan1232,,None
clotelab_RNAiFold,jantonio-garciamartin,,None
mehr-een_bemkl-rbps,mehr-een,,None
crbs_probabilitymapviewer,coleslaw481,,None
gevaertlab_MultimodalPrognosis,anikacheerla,,None
gevaertlab_MultimodalPrognosis,ogevaert,,None
suyashss_variant_validation,suyashss,,None
JavonSun_mvbc,JavonSun,"3300 Engineering & Computational Sciences Building Norfolk, Virginia 23529-0162",Saint Vincent and the Grenadines
LinearFold_LinearFold,VincentZhangOR,,None
LinearFold_LinearFold,LinearFold,,None
LinearFold_LinearFold,lianghuang3,"Corvallis, OR",United States
LinearFold_LinearFold,sizhen,,None
mirTime_mirtime,gpwls23,,None
LeeMendelowitz_maligner,LeeMendelowitz,"Washington, DC",United States
samocooper_nuclitrack,samocooper,,None
deeptools_pyGenomeTracks,lldelisle,"Lausanne, Switzerland",Switzerland
deeptools_pyGenomeTracks,fidelram,,None
deeptools_pyGenomeTracks,bgruening,Freiburg (Germany),Germany
deeptools_pyGenomeTracks,joachimwolff,"Freiburg, Germany",Germany
deeptools_pyGenomeTracks,vivekbhr,the Netherlands,Netherlands
deeptools_pyGenomeTracks,LeilyR,,None
deeptools_pyGenomeTracks,Phlya,"Edinburgh, United Kingdom",United Kingdom
deeptools_pyGenomeTracks,mikewolfe,,None
deeptools_pyGenomeTracks,djakubosky,,None
ratschlab_spladder,akahles,,None
